"timestamp","latitude","longitude","accel_mean","accel_variance","accel_stats_x_p1","accel_stats_x_p10","accel_stats_x_p90","accel_stats_x_p99","accel_stats_y_p1","accel_stats_y_p10","accel_stats_y_p90","accel_stats_y_p99","accel_stats_z_p1","accel_stats_z_p10","accel_stats_z_p90","accel_stats_z_p99"
"2025-06-06 16:35:01","33.77678","-84.388645","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:58","33.776805","-84.388647","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:55","33.776825","-84.388665","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:52","33.776834","-84.388678","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:49","33.776838","-84.388683","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:46","33.776838","-84.388692","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:43","33.776844","-84.38871","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:40","33.77685","-84.388723","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:37","33.776886","-84.388729","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:34","33.776921","-84.388734","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:31","33.776934","-84.388744","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:28","33.776943","-84.388741","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:25","33.777063","-84.388776","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:22","33.777352","-84.388987","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:19","33.777529","-84.38889","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:16","33.777725","-84.388933","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:13","33.777932","-84.388964","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:10","33.778199","-84.388972","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:07","33.778442","-84.388952","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:04","33.778678","-84.388911","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:34:01","33.778919","-84.388904","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:33:58","33.779127","-84.388824","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:33:55","33.779288","-84.388784","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:33:52","33.779423","-84.388737","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:33:49","33.779528","-84.388742","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:33:46","33.779576","-84.388781","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:33:43","33.779626","-84.388775","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:33:40","33.779685","-84.388745","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:33:37","33.779744","-84.388719","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:33:34","33.779817","-84.388696","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:33:31","33.779928","-84.388656","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:33:28","33.779978","-84.388644","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:33:25","33.780033","-84.388651","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:33:22","33.780091","-84.388654","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:33:19","33.780105","-84.388673","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:33:16","33.780143","-84.388698","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:33:13","33.78025","-84.388692","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:33:10","33.780363","-84.388674","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:33:07","33.780425","-84.388645","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:33:04","33.780437","-84.388632","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:33:01","33.780399","-84.388531","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:58","33.780303","-84.388366","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:55","33.780342","-84.388277","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:52","33.780389","-84.388216","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:46","33.780378","-84.388136","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:43","33.78035","-84.388103","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:40","33.780345","-84.388075","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:37","33.780344","-84.388112","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:34","33.78034","-84.388157","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:31","33.78035","-84.388199","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:28","33.780357","-84.388231","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:25","33.780356","-84.388238","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:22","33.780358","-84.388233","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:19","33.780361","-84.388243","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:16","33.780367","-84.388266","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:13","33.780376","-84.388258","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:10","33.78038","-84.388244","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
